commodity,year,Type,msprice,msp_filter,date,APMC,Commodity,arrivals_in_qtl,min_price,max_price,modal_price,district_name,Year,Month,trend,detrended_m,seasonal_m,residual_m,deseasonalised,raw_comparison,deseasonalised_comaprison
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Tumsar,paddy-unhusked,15390.0,2071.0,2202.0,2136.0,Bhandara,2014.0,9.0,2136.0,1.0,1.0232752742825264,0.9772541418057366,2087.4148468970534,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Pavani,paddy-unhusked,913.0,2290.0,2416.0,2377.0,Bhandara,2014.0,9.0,2377.0,1.0,1.0648695822126724,0.939082134285514,2232.198233196667,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Murbad,paddy-unhusked,154.0,1700.0,1867.0,1600.0,Thane,2014.0,9.0,1600.0,1.0,1.0007287635508668,0.9992717671586845,1598.834827453895,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Shahapur,paddy-unhusked,49.0,1415.0,1521.0,1488.0,Thane,2014.0,9.0,1488.0,1.0,1.0,1.0,1488.0,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Karjat (Raigad),paddy-unhusked,1365.0,1310.0,1459.0,1401.0,Raigad,2014.0,9.0,1401.0,1.0,1.0,1.0,1401.0,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Mangaon(Bhadav),paddy-unhusked,29.0,1182.0,1607.0,2574.0,Raigad,2014.0,9.0,2574.0,1.0,1.0,1.0,2574.0,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Pen,paddy-unhusked,72.0,1318.0,1354.0,1318.0,Raigad,2014.0,9.0,1318.0,1.0,0.9812347447058544,1.01912412437023,1343.2055959199631,Below_MSP,Below_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Akole,paddy-unhusked,119.0,1450.0,1900.0,1681.0,Ahmadnagar,2014.0,9.0,1681.0,1.0,1.0211858946613444,0.9792536356288292,1646.1253614920618,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Roha,paddy-unhusked,25.0,1300.0,1400.0,1350.0,Raigad,2014.0,9.0,1350.0,1.0,1.0001133419492383,0.9998866708957033,1349.8470057091995,Below_MSP,Below_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Barshi,paddy-unhusked,257.0,1494.0,1663.0,1632.0,Solapur,2014.0,9.0,1632.0,1.0,1.0032867704694926,0.9967239970004245,1626.6535631046927,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-09-01,Bhiwapur,paddy-unhusked,525.0,2583.0,2868.0,2727.0,Nagpur,2014.0,9.0,2727.0,1.0,1.0956382607255633,0.9127100027866598,2488.9601775992214,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Barshi,paddy-unhusked,79.0,1366.0,1500.0,1416.0,Solapur,2014.0,10.0,1524.0,0.9291338582677166,0.9913828501954184,0.9372099366905212,1428.3079435163543,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Bhiwapur,paddy-unhusked,370.0,2500.0,2542.0,2521.0,Nagpur,2014.0,10.0,2624.0,0.9607469512195121,1.0237705907204895,0.9384396855387067,2462.4657348535666,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Ausa,paddy-unhusked,4.0,1001.0,1101.0,1051.0,Latur,2014.0,10.0,1018.5,1.031909671084929,1.031909671084929,1.0,1018.4999999999999,Below_MSP,Below_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Umarga,paddy-unhusked,3.0,800.0,1200.0,800.0,Osmanabad,2014.0,10.0,981.5,0.8150789607743251,1.0354464571313486,0.7871763480967037,772.6135856569147,Below_MSP,Below_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Tuljapur,paddy-unhusked,17.0,775.0,813.0,794.0,Osmanabad,2014.0,10.0,812.5,0.9772307692307692,0.9772307692307692,1.0,812.5,Below_MSP,Below_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Karjat (Raigad),paddy-unhusked,2045.0,1310.0,1440.0,1400.0,Raigad,2014.0,10.0,1400.5,0.9996429846483399,1.0199057332908301,0.9801327240537119,1372.6758800372236,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Mangaon(Bhadav),paddy-unhusked,46.0,1345.0,1713.0,1546.0,Raigad,2014.0,10.0,2060.0,0.7504854368932039,0.8890850003257966,0.8441098844522129,1738.8663619715587,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Akole,paddy-unhusked,103.0,1425.0,1900.0,1669.0,Ahmadnagar,2014.0,10.0,1675.0,0.9964179104477612,1.013929930973554,0.9827285693115122,1646.070353596783,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Pavani,paddy-unhusked,449.0,2157.0,2286.0,2220.0,Bhandara,2014.0,10.0,2298.5,0.965847291711986,1.0031239565489738,0.9628394231903006,2213.086414202906,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Tumsar,paddy-unhusked,28077.0,2028.0,2140.0,2086.0,Bhandara,2014.0,10.0,2111.0,0.9881572714353387,1.0094508489828053,0.9789057807332338,2066.4701031278564,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Lakhani,paddy-unhusked,3.0,2725.0,2725.0,2725.0,Bhandara,2014.0,10.0,2725.0,1.0,1.099409956246949,0.9095788102680965,2478.602257980563,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Lakhandur,paddy-unhusked,4088.0,1867.0,1867.0,1867.0,Bhandara,2014.0,10.0,1867.0,1.0,0.9901639561144405,1.0099337527131949,1885.5463163155346,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Murbad,paddy-unhusked,684.0,1678.0,1900.0,1611.0,Thane,2014.0,10.0,1605.5,1.0034257240734974,1.00418213962949,0.9992467347046505,1604.2906325683164,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Vasai,paddy-unhusked,284.0,1413.0,1813.0,1600.0,Thane,2014.0,10.0,1625.0,0.9846153846153847,0.9912235639468945,0.9933333108978997,1614.1666302090869,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Shahapur,paddy-unhusked,15.0,1400.0,1516.0,1486.0,Thane,2014.0,10.0,1487.0,0.9993275050437121,0.9993275050437121,1.0,1487.0,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Pen,paddy-unhusked,132.0,1360.0,1400.0,1360.0,Raigad,2014.0,10.0,1339.0,1.015683345780433,1.0030552370777148,1.012589644354491,1355.8575337906639,Above_MSP,Below_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Roha,paddy-unhusked,29.0,1300.0,1400.0,1350.0,Raigad,2014.0,10.0,1350.0,1.0,1.0167539586583618,0.9835221112092161,1327.7548501324416,Below_MSP,Below_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Brahmpuri,paddy-unhusked,730.0,2240.0,2315.0,2278.0,Chandrapur,2014.0,10.0,2493.0,0.9137585238668271,1.0074348079963007,0.9070150411858535,2261.1884976763326,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Nagbhid,paddy-unhusked,6471.0,2307.0,2517.0,2410.0,Chandrapur,2014.0,10.0,2394.0,1.0066833751044277,1.0558270005937402,0.9534548505942008,2282.5709123225165,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Chimur,paddy-unhusked,760.0,2014.0,2201.0,2141.0,Chandrapur,2014.0,10.0,2133.5,1.0035153503632528,1.0478887651326294,0.957654460811248,2043.155792140798,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Gondpimpri,paddy-unhusked,350.0,2039.0,2100.0,2088.0,Chandrapur,2014.0,10.0,2084.5,1.001679059726553,1.0926125398311743,0.9167742664580145,1911.0159584317314,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Mul,paddy-unhusked,13922.0,2210.0,2582.0,2399.0,Chandrapur,2014.0,10.0,2398.0,1.000417014178482,1.0514498708960625,0.9514642988409049,2281.61138862049,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Aheri,paddy-unhusked,254.0,1850.0,1850.0,1850.0,Gadchiroli,2014.0,10.0,1625.0,1.1384615384615384,1.1501643863408157,0.9898250649922231,1608.4657306123627,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Armori,paddy-unhusked,642.0,2552.0,2619.0,2596.0,Gadchiroli,2014.0,10.0,2334.5,1.112015420860998,1.0845638100647164,1.0253111993425668,2393.588994865222,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Armori-Desaiganj,paddy-unhusked,9913.0,1674.0,1940.0,1838.0,Gadchiroli,2014.0,10.0,1854.5,0.9911027231059585,1.0179773540055879,0.9735999717539081,1805.5411476176225,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Gadchiroli,paddy-unhusked,2516.0,2040.0,2212.0,2140.0,Gadchiroli,2014.0,10.0,2145.5,0.9974364949895129,1.0443859421634643,0.9550458836350337,2049.0509433389648,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Aamgaon,paddy-unhusked,2195.0,1591.0,1749.0,1670.0,Gondiya,2014.0,10.0,1707.0,0.9783245459871119,0.9604834714815125,1.0185750978911488,1738.7076921001908,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Tiroda,paddy-unhusked,11384.0,1846.0,1960.0,1903.0,Gondiya,2014.0,10.0,2002.5,0.9503121098626717,0.996729869219578,0.9534299504907477,1909.2434758577224,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Arjuni Morgaon,paddy-unhusked,2437.0,1851.0,1929.0,1889.0,Gondiya,2014.0,10.0,1924.0,0.9818087318087318,1.0438616033015469,0.9405545033014406,1809.6268643519716,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-10-01,Shirala,paddy-unhusked,30.0,1400.0,1500.0,1450.0,Sangli,2014.0,10.0,1450.0,1.0,1.0,1.0,1450.0,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-11-01,Shirala,paddy-unhusked,517.0,1360.0,1460.0,1400.0,Sangli,2014.0,11.0,1425.0,0.9824561403508771,0.9912280701754386,0.9911504424778761,1412.3893805309735,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-11-01,Karjat (Raigad),paddy-unhusked,1415.0,1310.0,1440.0,1400.0,Raigad,2014.0,11.0,1400.3333333333333,0.999761961437753,1.0377484057061614,0.9633953238959113,1349.0745852289076,Above_MSP,Below_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-11-01,Mangaon(Bhadav),paddy-unhusked,6.0,1300.0,1523.0,1405.0,Raigad,2014.0,11.0,1841.6666666666667,0.7628959276018099,0.8923464745021575,0.8549324162763478,1574.5005333089407,Above_MSP,Above_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-11-01,Pen,paddy-unhusked,114.0,1360.0,1400.0,1360.0,Raigad,2014.0,11.0,1346.0,1.0104011887072808,1.0101190061874412,1.0002793557176046,1346.3760127958958,Above_MSP,Below_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-11-01,Roha,paddy-unhusked,32.0,1300.0,1400.0,1350.0,Raigad,2014.0,11.0,1350.0,1.0,1.0209860715427626,0.9794452910498068,1322.2511429172393,Below_MSP,Below_MSP
paddy-unhusked,2014,Kharif Crops,1360.0,1,2014-11-01,Ghoti,paddy-unhusked,180.0,2100.0,2266.0,2183.0,Nasik,2014.0,11.0,2191.5,0.9961213780515629,0.9492152183330638,1.0494157266050494,2299.794564854966,Above_MSP,Above_MSP
